restaurant_type,location,season,food_cost,labor_cost,rent_cost,marketing_spend,utilities_cost,maintenance_cost,technology_spend,delivery_spend,num_employees,seating_capacity,avg_ticket_size,daily_covers,online_orders_pct,customer_rating,years_in_business,wastage_pct,revenue,total_cost,profit,profit_tier
Casual Dining,Suburb,Summer,11927.812945692247,37735.37996626206,14537.431423302249,2224.1467999941246,4937.263084288605,214.6978906164784,469.76148061253855,10348.330128239855,47.0,287.0,80.11623861221544,111.0,43.67723645358315,4.380133603771127,9.0,4.726870832908135,411525.53735997673,82394.82371900814,329130.7136409686,High Profit
Buffet,Suburb,Summer,9556.529719101505,5217.4976624965575,33036.05992523726,780.3017776560771,3658.8737432994167,7687.878281234137,4200.491401103008,1354.3975684670484,19.0,69.0,59.96509355479912,405.0,8.370524760754767,3.029973447680482,25.0,2.3487152075826376,943788.6915222598,65492.03007859501,878296.6614436648,High Profit
Cafe,Downtown,Winter,50314.396305774804,37898.839429973865,39786.31902718837,14821.01510272053,7508.914281554669,4375.469495184921,4756.561039450951,4424.22716705579,8.0,142.0,20.526707138678006,516.0,44.41111412330527,3.1327020923871913,12.0,5.126371074913238,430833.5879963302,163885.7418489039,266947.8461474263,High Profit
Fast Food,Mall,Spring,77458.7241869566,8111.110585554627,33948.938437427736,5603.229369447856,1663.7772311954702,5663.124219243157,2849.456685158356,9622.869708112317,70.0,76.0,110.40883336733232,206.0,22.492096970250948,2.6730805583626136,18.0,11.16611858516693,770597.8999651619,144921.23042309616,625676.6695420658,High Profit
Casual Dining,Mall,Spring,42704.0981716043,43489.6215955686,15153.431204503106,17614.725882255083,7627.38573455097,7318.257832701478,2803.39614109987,9032.026500252165,43.0,165.0,107.79117124157253,165.0,59.582030245705425,3.906710951706131,15.0,1.6782649651857056,836228.1422174046,145742.94306253557,690485.199154869,High Profit
Casual Dining,Residential,Autumn,8863.641945447886,25234.425855113044,29027.590949688773,10949.08821437339,2031.086740473443,3578.605873006336,3378.1680899674097,10023.174297491534,53.0,122.0,106.1350162290981,36.0,28.841032490830408,3.5795993548719194,14.0,17.682126480785822,176373.70618724532,93085.78196556182,83287.9242216835,Medium Profit
Fine Dining,Downtown,Winter,21591.39920580921,50748.700019405565,22289.090985660787,9831.158485131185,3406.828918384584,3637.0955991952296,1828.874267909337,1866.6611068326522,67.0,182.0,115.82286983999386,82.0,20.650533324496603,4.601440785140205,13.0,9.05340578576227,540655.6013415521,115199.80858832855,425455.79275322356,High Profit
Food Truck,Mall,Autumn,23359.4679811828,56724.166980112444,31887.675787569526,15569.966063062167,3666.651980027987,1502.4562531957831,912.4366721725321,7729.641249888222,2.0,245.0,99.19177687535009,83.0,20.322655406430915,4.82219311087637,20.0,10.207686241547126,297764.9110939502,141352.4629672115,156412.44812673872,High Profit
Fast Food,Highway,Summer,30339.28468527125,26775.289463539713,7817.700996557185,14951.372069260837,9908.915666873796,7265.460588563904,425.4338399866348,13914.109328671173,18.0,154.0,5.637975953266478,499.0,3.2623348922133477,2.832554957506267,5.0,3.7322543430592523,156251.6726107241,111397.5666387245,44854.10597199961,Low Profit
Cafe,Highway,Spring,8270.253768965948,29251.65184200353,26249.114520544346,14233.392381604563,6103.308854996917,5251.851787049294,4417.395808311936,14306.563982954602,78.0,198.0,87.22960386225255,58.0,59.61961081424503,4.466950838322561,26.0,17.318553335291515,240856.0753016475,108083.53294643112,132772.5423552164,Medium Profit
Fine Dining,Residential,Autumn,72866.95253734372,36638.41211773246,31399.337386985917,13953.068642010521,7886.764827061437,1606.1001288740981,2781.9049674046487,1900.9394885102897,74.0,12.0,52.821246701866706,568.0,42.70334195602545,2.578560746954038,1.0,13.534380695759262,1201303.130481647,169033.4800959231,1032269.650385724,High Profit
